OK	Arevalo Academy	AZ	Lake Havasu City	https://arevaloacademy.com/	MMA with BJJ/wrestling, Lake Havasu City address
OK	Arise Brazilian Jiu-Jitsu Academy	KS	Pittsburg	https://arisebjj.org	BJJ academy, Pittsburg KS confirmed
AGGREGATOR	Arkansas Center for Sports Science Trainin	AR	Malvern	https://www.facebook.com/ArkCenterForSportsScienceTraining	Facebook page used as site
OK	Arlington MMA	TX	Arlington	https://arlingtonmma.com/	MMA/BJJ gym, Arlington TX address
OK	Arnett's Martial Arts America	ID	Lewiston	https://martialartsamericaid.com	BJJ offered, 650 Thain Road matches
OK	Arroyo Grappling Academy	IA	Iowa City	https://arroyograppling.com	Grappling academy in Iowa City Sycamore Mall
OK	Arsenal Brazilian Jiu Jitsu	IL	Benton	https://www.arsenalbjj.com	BJJ school, Benton IL address listed
OK	Art of Movement: MMA, BJJ & Fitness	NJ	Medford	https://aommma.com/	BJJ, 682 Stokes Rd Medford matches
OK	Art of War Jiu Jitsu	FL	Orange Park	https://aowjj.com	BJJ academy, Orange Park FL location
OK	Arte Suave Jiu Jitsu Academy	WV	Beckley	https://artesuavebeckley.com	BJJ/MMA, 321 S Fayette St matches
OK	Arts Martiaux DeRocque BJJ	QC	Gatineau	https://derocquebjj.com	JS site; metadata names BJJ Aylmer Gatineau
OK	Arts Martiaux K2V	QC	Shefford	https://www.ecolekaratebromont.com	BJJ offered, 104 rue Clermont Shefford
OK	Arts Martiaux KJS	QC	Saint-Constant	https://www.artsmartiauxkjs.com	BJJ offered, Saint-Constant address matches
AGGREGATOR	Asbury Park Jiu Jitsu	NJ	Neptune City	https://www.mindbodyonline.com/explore/locations/asbury-park-jiu-jitsu	Mindbody booking platform page
AGGREGATOR	Ascend Jiu-Jitsu	NV	Reno	https://cp.mystudio.io/t	MyStudio booking platform, empty page
OK	Ascendant Martial Arts	SK	Regina	https://ascendantmartialarts.ca	BJJ/wrestling, 1171 Winnipeg St Regina matches
OK	Ascension Mixed Martial Arts (Cumming)	GA	Cumming	https://ascensionmma.com/	BJJ/MMA, Cumming Forsyth County named
OK	Ascent Jiu Jitsu	IA	Coralville	https://ascent-jiujitsu.com	BJJ, 708 5th St Coralville matches
OK	Ashland BJJ	OR	Ashland	https://ashlandbjj.com	BJJ academy, 1287 Oak St Ashland
OK	Ashland Mixed Martial Art	OR	Ashland	https://ashlandheroacademy.com/	Jiu jitsu classes, Ashland Oregon named
